Date,Route,Rating,Notes,URL,Pitches,Location,"Avg Stars","Your Stars",Style,"Lead Style","Route Type","Your Rating",Length,"Rating Code"
2025-06-22,"La Cosita, Left",5.7,,https://www.mountainproject.com/route/105877771/la-cosita-left,1,"California > Yosemite National Park > Yosemite Valley > Valley North Side > B. El Capitan > 1. Base Routes > Southwest Base > Little John and La Cosita",2.8,-1,TR,,Trad,,,1800
2025-06-22,"Sacherer Cracker",5.10a,"Tr solo ",https://www.mountainproject.com/route/105945535/sacherer-cracker,1,"California > Yosemite National Park > Yosemite Valley > Valley North Side > B. El Capitan > 1. Base Routes > Southwest Base > The Slack to West Buttress",3.8,-1,TR,,Trad,,150,2600
2025-06-21,"The Nutcracker Suite (aka Nutcracker)",5.8,,https://www.mountainproject.com/route/105833505/the-nutcracker-suite-aka-nutcracker,4,"California > Yosemite National Park > Yosemite Valley > Valley North Side > C. El Cap Picnic Area (Eagle Creek) > 5. Manure Pile Buttress (aka Ranger Rock)",3.6,-1,Lead,Onsight,Trad,,500,2100
2025-06-21,"Bishops Terrace",5.8,"Jesus ",https://www.mountainproject.com/route/105872317/bishops-terrace,1,"California > Yosemite National Park > Yosemite Valley > Valley North Side > G. Church Bowl",3.7,-1,Lead,Onsight,Trad,,195,2100
2025-06-20,"After Six",5.7,,https://www.mountainproject.com/route/105862639/after-six,4,"California > Yosemite National Park > Yosemite Valley > Valley North Side > C. El Cap Picnic Area (Eagle Creek) > 5. Manure Pile Buttress (aka Ranger Rock)",2.9,-1,Lead,Onsight,Trad,,600,1800
2025-06-20,Munginella,5.6,,https://www.mountainproject.com/route/105867008/munginella,2,"California > Yosemite National Park > Yosemite Valley > Valley North Side > E. Yosemite Falls Area > Five Open Books > First Tier",2.9,-1,Lead,Onsight,Trad,,300,1600
2025-06-20,"Super Hands (aka Ranger Crack)",5.8,,https://www.mountainproject.com/route/105914577/super-hands-aka-ranger-crack,1,"California > Yosemite National Park > Yosemite Valley > Valley North Side > E. Yosemite Falls Area > Lower Falls Amphitheater",3.4,-1,Lead,Onsight,Trad,,70,2100
2025-06-19,"After Seven",5.8,,https://www.mountainproject.com/route/105874735/after-seven,1,"California > Yosemite National Park > Yosemite Valley > Valley North Side > C. El Cap Picnic Area (Eagle Creek) > 5. Manure Pile Buttress (aka Ranger Rock)",3.1,-1,Lead,Onsight,Trad,,115,2100
2025-06-14,Tentacle,5.8,"Aidan OS",https://www.mountainproject.com/route/119012658/tentacle,1,"California > Northwest California > Promontory > Puff Boulder",3.7,-1,Follow,,Sport,,65,2100
2025-06-14,Riptide,5.12a,,https://www.mountainproject.com/route/109899415/riptide,1,"California > Northwest California > Promontory > Abyss Boulder",3.5,-1,Lead,Fell/Hung,Sport,,50,6600
2025-06-14,"Ebb Tide",5.10a,,https://www.mountainproject.com/route/119127881/ebb-tide,1,"California > Northwest California > Promontory > Exploding Energy Boulder",3.1,-1,Lead,,Sport,,70,2600
2025-06-05,Skywalker,5.8,"W Aidan ",https://www.mountainproject.com/route/107198282/skywalker,5,"International > North America > Canada > British Columbia > Squamish > Shannon Falls > Shannon Falls Wall",3.5,-1,Lead,Onsight,Trad,,300,2100
2025-06-04,"Xenolith Dance",5.10c,,https://www.mountainproject.com/route/106084722/xenolith-dance,1,"International > North America > Canada > British Columbia > Squamish > Stawamus Chief > The Bulletheads > Bulletheads South",3.0,-1,Lead,Onsight,Sport,,,3200
2025-06-04,"Slot Machine",5.8+,,https://www.mountainproject.com/route/105842934/slot-machine,2,"International > North America > Canada > British Columbia > Squamish > Stawamus Chief > The Bulletheads > Bulletheads South",3.4,-1,Lead,Onsight,Trad,,300,2200
2025-05-29,"Pocket Pool",5.11b,"First bolt right hand crimp on ramp (not chalked) 2nd bolt left hand crimp high left foot, smear right, straight up (hit the middle) . Next sequence, low feet shuffle over. (Match?)  or use small holds to rock over and get pinch, then bomber undercling",https://www.mountainproject.com/route/108415799/pocket-pool,1,"Oregon > Central Oregon > Smith Rock > (m) Smith Rock Group > (6) Northwest Face",3.1,-1,Lead,Fell/Hung,Sport,,,4900
2025-05-29,"Elbow Therapy",5.8,,https://www.mountainproject.com/route/116142598/elbow-therapy,1,"Oregon > Central Oregon > Smith Rock > (m) Smith Rock Group > (6) Northwest Face",2.8,-1,Lead,,Sport,,80,2100
2025-05-29,"Thieves Like Us",5.10c,,https://www.mountainproject.com/route/108281533/thieves-like-us,1,"Oregon > Central Oregon > Smith Rock > (m) Smith Rock Group > (6) Northwest Face",3.0,3,Lead,Onsight,Sport,,95,3200
2025-05-29,Stained,5.9,,https://www.mountainproject.com/route/107362347/stained,1,"Oregon > Central Oregon > Smith Rock > (m) Smith Rock Group > (6) Northwest Face",2.3,-1,Lead,Onsight,Sport,,50,2400
2025-05-29,"Bits and Pieces",5.5,,https://www.mountainproject.com/route/106192758/bits-and-pieces,1,"Oregon > Central Oregon > Smith Rock > (m) Smith Rock Group > (6) Northwest Face",2.4,-1,Lead,Onsight,Sport,,,1500
2025-04-26,"Princely Ambitions",5.9,,https://www.mountainproject.com/route/105790710/princely-ambitions,2,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Lower Town Wall > (C) Main Wall, left side",3.7,-1,Lead,Onsight,Trad,,,2400
2025-04-26,"R & D",5.6,,https://www.mountainproject.com/route/106582065/r-d,4,"Washington > Central-East Cascades, Wenatchee, & Leavenworth > Leavenworth > Icicle Creek > Icicle Buttress and Bob's Wall > Icicle Buttress",2.7,-1,Solo,,Trad,,300,1600
2025-04-26,"St. Vitus' Dance AKA Return to the Womb",5.10d,,https://www.mountainproject.com/route/106270721/st-vitus-dance-aka-return-to-the-womb,1,"Washington > Central-East Cascades, Wenatchee, & Leavenworth > Leavenworth > Icicle Creek > Alphabet Rock",3.6,4,Lead,Fell/Hung,Sport,,,3500
2025-04-26,Godzilla,5.9,,https://www.mountainproject.com/route/105790717/godzilla,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Lower Town Wall > (C) Main Wall, left side",3.8,-1,Lead,Onsight,Trad,,105,2400
2025-04-25,"Leaping Lizards (Godzilla P2)",5.10b,"Funnn great view Aidan stuck",https://www.mountainproject.com/route/115009105/leaping-lizards-godzilla-p2,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Lower Town Wall > (C) Main Wall, left side",3.3,-1,Follow,,Trad,,,2900
2025-04-16,"Make My Blue Rat Dance",5.10a,"Route starts where high hopes rap gets you. Dirty.",https://www.mountainproject.com/route/124025061/make-my-blue-rat-dance,1,"International > Oceania > New Zealand > North Island > Lake Taupo > Kawakawa Bay > The Point",1.5,1,Lead,Onsight,Sport,5.10-,60,2600
2025-04-15,"Guardians Of The Galaxy",5.10-,"Aidan led p2,3. Fun finish",https://www.mountainproject.com/route/200788107/guardians-of-the-galaxy,4,"International > Oceania > New Zealand > North Island > Lake Taupo > Kawakawa Bay > The Bluff",2.0,2,Lead,Onsight,Sport,5.10-,180,2700
2025-04-15,"Incredible Hulk",5.12-,"undercling deadpoint to slopey hold, match, cross right hand headed left to bolt, reach up with left, clip. Head up on small holds, high foot, hero throw left.",https://www.mountainproject.com/route/200788100/incredible-hulk,1,"International > Oceania > New Zealand > North Island > Lake Taupo > Kawakawa Bay > The Bluff",4.0,4,Lead,Fell/Hung,Sport,5.12-,60,6700
2025-04-14,Miromiro,5.7,,https://www.mountainproject.com/route/200788124/miromiro,1,"International > Oceania > New Zealand > North Island > Lake Taupo > Kawakawa Bay > Secret Garden",4.0,4,Lead,Onsight,Sport,5.7,90,1800
2025-04-14,"Rise of the Sloths",5.11b,"Tough slab!!",https://www.mountainproject.com/route/200788119/rise-of-the-sloths,2,"International > Oceania > New Zealand > North Island > Lake Taupo > Kawakawa Bay > Secret Garden",3.0,3,Lead,Onsight,Sport,5.11b,74,4900
2025-04-13,"Peu Pour Être Heureaux / The Bare Necessities",5.10b/c,,https://www.mountainproject.com/route/200788158/peu-pour-etre-heureaux-the-bare-necessities,1,"International > Oceania > New Zealand > North Island > Lake Taupo > Kawakawa Bay > Jungle Wall > Lower Tier",3.0,3,Lead,Onsight,Sport,5.10b/c,70,3100
2025-04-13,"Welcome to the Jungle",5.9,,https://www.mountainproject.com/route/200788161/welcome-to-the-jungle,1,"International > Oceania > New Zealand > North Island > Lake Taupo > Kawakawa Bay > Jungle Wall > Lower Tier",2.0,2,Lead,Onsight,Sport,5.9,60,2400
2025-04-13,"Jungle Fever",5.10c/d,"cheeky OS with an audience",https://www.mountainproject.com/route/200788152/jungle-fever,1,"International > Oceania > New Zealand > North Island > Lake Taupo > Kawakawa Bay > Jungle Wall > Lower Tier",4.0,4,Lead,Onsight,Sport,5.10c/d,80,3400
